City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,jatiroto,-7.8833,111.1167,26.41,81,100,2.81,ID,1681441123
84,nanortalik,60.1432,-45.2371,0.98,78,100,2.45,GL,1681441123
85,coquimbo,-29.9533,-71.3436,14.85,94,20,1.03,CL,1681440596
86,souillac,-20.5167,57.5167,23.21,94,20,1.54,MU,1681441124
87,bredasdorp,-34.5322,20.0403,13.38,67,47,3.32,ZA,1681441124
88,saint george,37.1041,-113.5841,21.33,19,0,4.12,US,1681441124
89,puerto ayora,-0.7393,-90.3518,28.08,92,99,2.68,EC,1681440903
90,roald,62.5833,6.1333,10.51,53,65,5.14,NO,1681441125
91,fortuna,40.5982,-124.1573,9.25,74,29,2.15,US,1681440753
92,homer,59.6425,-151.5483,3.78,74,100,4.12,US,1681441125
93,dikson,73.5069,80.5464,-23.08,100,100,3.61,RU,1681441125
94,banjar,-8.19,114.9675,30.19,65,100,1.51,ID,1681441126
95,stephenville crossing,48.5,-58.4318,2.07,87,75,3.6,CA,1681441126
96,ancud,-41.8697,-73.8203,9.54,80,100,1.7,CL,1681441126
97,provideniya,64.3833,-173.3,-10.91,52,0,2.0,RU,1681441126
98,atuona,-9.8,-139.0333,26.74,69,88,1.65,PF,1681441124
99,chuy,-33.6971,-53.4616,12.41,71,4,3.11,UY,1681441126
100,avarua,-21.2078,-159.775,27.03,65,68,3.09,CK,1681441119
101,sitka,57.0531,-135.33,5.94,70,75,0.0,US,1681441126
102,mataura,-46.1927,168.8643,17.67,59,0,3.54,NZ,1681441126
103,balkanabat,39.5108,54.3671,16.08,54,100,0.64,TM,1681441127
104,ribeira grande,38.5167,-28.7,17.1,93,96,7.6,PT,1681441127
105,gushikawa,26.3544,127.8686,25.57,90,100,5.14,JP,1681441127
106,churapcha,62.0025,132.4325,-0.66,92,100,2.92,RU,1681441127
107,carnarvon,-24.8667,113.6333,21.1,53,87,12.53,AU,1681441127
108,cape town,-33.9258,18.4232,17.43,67,20,5.66,ZA,1681440480
109,darhan,49.4867,105.9228,1.64,40,9,4.18,MN,1681441127
110,meppen,52.6906,7.291,4.94,100,19,0.0,DE,1681441128
111,kitimat,54.0524,-128.6534,6.21,52,96,1.52,CA,1681441128
112,lodwar,3.1191,35.5973,27.11,61,100,4.64,KE,1681441128
113,formosa,-26.1775,-58.1781,19.99,91,100,5.66,AR,1681441128
114,barrow,71.2906,-156.7887,-16.99,71,0,4.63,US,1681441109
115,ilhabela,-23.7781,-45.3581,22.85,85,3,1.46,BR,1681441129
116,sabak,3.7675,100.9875,30.53,66,12,1.88,MY,1681441129
117,hasaki,35.7333,140.8333,24.01,68,87,10.31,JP,1681441129
118,goksun,38.021,36.4973,2.84,85,1,1.81,TR,1681440919
119,jaszszentlaszlo,46.5668,19.7607,11.08,61,100,5.68,HU,1681441129
120,ostrovnoy,68.0531,39.5131,-8.17,80,14,9.61,RU,1681441129
121,kupang,-10.1667,123.5833,31.32,79,40,3.6,ID,1681440961
122,port blair,11.6667,92.75,30.45,57,10,1.8,IN,1681440944
123,portland,45.5234,-122.6762,11.02,65,99,2.34,US,1681440955
124,sangar,63.9242,127.4739,-1.35,90,90,3.43,RU,1681441130
125,poum,-20.2333,164.0167,24.95,86,100,4.53,NC,1681440885
126,borba,-4.3878,-59.5939,23.65,96,51,0.49,BR,1681441130
127,aktash,50.3,87.7333,-4.55,65,54,2.05,RU,1681441131
128,touros,-5.1989,-35.4608,24.65,90,83,3.8,BR,1681441102
129,mahibadhoo,3.7833,72.9667,28.54,74,7,2.46,MV,1681440982
130,lavrentiya,65.5833,-171.0,-14.19,77,10,4.1,RU,1681441131
131,horta,38.5333,-28.6333,16.68,93,92,7.6,PT,1681441131
132,ilulissat,69.2167,-51.1,-9.06,88,100,2.56,GL,1681441024
133,meulaboh,4.1363,96.1285,28.33,76,90,0.7,ID,1681441115
134,savannah bight,16.45,-85.85,27.14,83,99,8.26,HN,1681441131
135,manado,1.487,124.8455,32.43,66,40,1.54,ID,1681441132
136,armidale,-30.5167,151.65,17.45,48,85,2.51,AU,1681441132
137,airai,-8.9266,125.4092,22.25,73,20,1.08,TL,1681441132
138,rochegda,62.8,43.25,-12.06,90,6,1.66,RU,1681441132
139,norman wells,65.282,-126.8329,-8.98,79,100,4.12,CA,1681441132
140,hirara,24.8,125.2833,26.15,83,75,7.2,JP,1681441109
141,tsaratanana,-16.7833,47.65,21.33,92,100,2.24,MG,1681441132
142,powell,40.1578,-83.0752,17.67,51,0,0.0,US,1681441132
143,zherdevka,51.8486,41.4606,5.75,86,100,11.01,RU,1681441132
144,fort nelson,58.8053,-122.7002,6.77,42,75,1.54,CA,1681441042
145,barreiras,-12.1528,-44.99,24.06,62,100,1.1,BR,1681441133
146,hithadhoo,-0.6,73.0833,28.71,69,59,3.12,MV,1681440905
147,redcliffe,-27.2307,153.0973,27.86,43,0,4.63,AU,1681441133
148,san quintin,30.4833,-115.95,12.99,65,38,5.88,MX,1681441098
149,pierre,44.3683,-100.351,11.51,66,0,5.66,US,1681441133
150,zhigansk,66.7697,123.3711,-5.22,83,53,4.9,RU,1681441133
151,ponta do sol,32.6667,-17.1,17.78,72,79,3.82,PT,1681441133
152,lincoln,40.8,-96.667,22.87,37,3,3.58,US,1681440827
153,castro,-24.7911,-50.0119,16.18,85,98,1.66,BR,1681441134
154,los llanos de aridane,28.6585,-17.9182,18.4,54,100,6.71,ES,1681441134
155,bonavista,48.6499,-53.1147,0.31,90,100,1.96,CA,1681441134
156,lewisporte,49.2499,-55.0482,-0.16,95,100,1.84,CA,1681441134
157,codrington,-38.2667,141.9667,22.87,47,23,5.3,AU,1681440918
158,hobart,-42.8794,147.3294,16.81,70,75,2.06,AU,1681441135
159,ipixuna,-1.7625,-48.8043,23.42,97,100,1.17,BR,1681441135
160,coihaique,-45.5752,-72.0662,1.97,75,0,2.06,CL,1681441135
161,constitucion,-35.3333,-72.4167,12.47,93,100,2.74,CL,1681441135
162,prince albert,53.2001,-105.7677,4.97,56,75,2.57,CA,1681440964
163,guerrero negro,27.9769,-114.0611,14.14,72,0,6.8,MX,1681441135
164,hilo,19.7297,-155.09,24.85,74,75,2.06,US,1681441060
165,khatanga,71.9667,102.5,-20.04,82,52,7.84,RU,1681441106
166,tuktoyaktuk,69.4541,-133.0374,-19.0,71,20,2.57,CA,1681441135
167,havoysund,70.9963,24.6622,1.13,73,4,3.3,NO,1681441136
168,nago,26.5881,127.9761,24.24,80,100,4.19,JP,1681441127
169,yellowknife,62.456,-114.3525,-3.71,74,100,3.6,CA,1681440921
170,saint aubin,-20.4917,57.5414,22.45,94,20,1.54,MU,1681441136
171,palembang,-2.9167,104.7458,31.05,70,40,2.57,ID,1681441136
172,westport,41.1415,-73.3579,25.61,51,0,4.02,US,1681440863
173,skeldon,5.8833,-57.1333,24.73,90,86,2.36,GY,1681441136
174,torbay,47.6666,-52.7314,1.26,93,40,1.03,CA,1681441046
175,menongue,-14.6585,17.691,18.2,80,99,1.32,AO,1681441137
176,pevek,69.7008,170.3133,-15.62,86,99,1.5,RU,1681441137
177,paita,-5.0892,-81.1144,27.35,74,100,4.3,PE,1681441137
178,udachnyy,66.4167,112.4,-3.64,49,100,10.93,RU,1681441137
179,nara,34.6851,135.8049,21.62,31,95,1.8,JP,1681441137
180,sambava,-14.2667,50.1667,23.12,91,11,1.77,MG,1681441137
181,great bend,38.3645,-98.7648,22.24,38,0,8.75,US,1681441137
182,arraial do cabo,-22.9661,-42.0278,23.85,91,9,3.92,BR,1681440838
183,nouadhibou,20.931,-17.0347,20.99,78,0,4.63,MR,1681441137
184,sorland,67.667,12.6934,4.92,72,11,10.52,NO,1681441138
185,altamira,-3.2033,-52.2064,22.77,98,90,0.76,BR,1681440759
186,solnechnyy,50.7214,136.6319,-2.31,73,100,4.57,RU,1681440939
187,along,28.1667,94.7667,28.71,44,0,0.42,IN,1681441138
188,saint-philippe,-21.3585,55.7679,24.77,84,95,0.51,RE,1681441138
189,rundu,-17.9333,19.7667,18.93,70,29,2.18,NA,1681441120
190,caravelas,-17.7125,-39.2481,23.79,91,11,2.18,BR,1681440887
191,black river,18.0264,-77.8487,25.41,82,71,0.56,JM,1681441139
192,guican,6.4618,-72.4113,11.12,91,100,1.15,CO,1681441139
193,san jose,37.3394,-121.895,14.08,57,0,8.23,US,1681440490
194,krasnoarmeysk,51.0239,45.6969,7.74,92,100,12.69,RU,1681441139
195,nome,64.5011,-165.4064,-12.69,72,0,2.57,US,1681440907
196,grindavik,63.8424,-22.4338,3.26,93,75,4.63,IS,1681441005
197,beringovskiy,63.05,179.3167,-12.51,76,98,4.58,RU,1681440960
198,laguna,38.421,-121.4238,18.08,24,0,3.09,US,1681441140
199,zimovniki,47.1483,42.4633,9.38,89,100,12.19,RU,1681441140
200,taksimo,56.3444,114.8794,-1.11,60,87,0.69,RU,1681440876
201,briancon,44.9,6.65,-5.11,95,61,2.83,FR,1681441140
202,de-kastri,51.4667,140.7833,-1.4,82,100,6.82,RU,1681441141
203,nuqui,5.7125,-77.2708,26.06,87,13,0.68,CO,1681441141
204,sabang,5.8933,95.3214,28.48,74,35,4.37,ID,1681441141
205,cidreira,-30.1811,-50.2056,18.47,86,100,4.69,BR,1681441141
206,buenavista,8.9769,125.4089,29.14,78,66,0.55,PH,1681441141
207,halifax,44.6453,-63.5724,10.25,64,67,4.12,CA,1681440381
208,talnakh,69.4865,88.3972,-21.84,84,95,2.56,RU,1681440900
209,ouricuri,-7.8825,-40.0817,21.1,60,100,0.65,BR,1681441141
210,limulunga,-15.0969,23.1376,16.77,82,2,1.89,ZM,1681441142
211,voh,-20.9667,164.7,24.38,91,100,1.49,NC,1681441142
212,launceston,-41.45,147.1667,17.31,55,100,2.57,AU,1681441142
213,moose factory,51.2585,-80.6094,-1.0,80,100,2.06,CA,1681441142
214,vestmannaeyjar,63.4427,-20.2734,6.24,75,91,2.46,IS,1681441143
215,mjolby,58.326,15.1237,4.6,96,100,2.38,SE,1681441143
216,avila,40.5833,-5.0,4.8,86,83,4.61,ES,1681441143
217,qui nhon,13.7667,109.2333,35.45,45,78,1.66,VN,1681441017
218,port lincoln,-34.7333,135.8667,23.57,42,100,7.67,AU,1681441144
